user,item,topk,counterfactual,predicted_scores,replacement,actual_scores_0,actual_scores_1,actual_scores_2,actual_scores_3,actual_scores_4,actual_scores_avg
14,6852,"[6852, 6855, 6853, 1554, 6778, 6850, 6854, 6856, 19996, 17781]","{12290, 10246, 12312, 10264, 10277, 12328, 10282, 12340, 10294, 10296, 10298, 10312, 10314, 10316, 80, 10323, 10324, 10327, 10333, 2144, 6252, 6253, 6254, 12401, 12402, 2162, 12416, 10386, 12437, 2214, 10414, 2224, 12465, 12466, 12467, 12471, 2239, 12482, 12487, 10449, 10452, 10454, 10462, 10464, 10465, 12514, 12515, 10467, 6379, 6380, 12525, 12528, 12529, 12533, 12535, 12538, 6395, 10492, 6396, 10494, 6397, 10495, 12545, 6398, 6399, 10500, 6402, 12551, 6410, 10506, 4364, 4365, 4363, 2316, 2322, 8467, 8468, 12564, 10518, 12568, 12570, 10523, 12572, 10522, 10534, 12588, 6447, 6452, 12601, 8505, 12605, 8511, 8513, 12612, 12613, 8518, 8517, 10568, 8521, 8522, 12619, 8523, 8525, 12623, 10576, 8530, 10579, 8536, 10585, 8538, 8541, 4446, 8543, 12643, 10595, 12646, 8554, 12653, 8561, 8563, 12661, 12662, 8568, 8569, 12669, 12670, 12672, 2436, 8583, 12680, 12681, 12682, 12686, 12687, 12688, 12689, 12690, 12693, 12697, 12698, 12699, 12700, 10653, 12702, 12703, 12705, 12708, 12710, 8619, 10669, 8625, 8629, 8632, 8635, 8636, 8639, 10691, 10694, 8647, 10701, 8656, 10705, 8662, 10711, 8664, 8663, 2527, 8675, 8676, 8680, 10729, 10730, 10731, 10740, 8693, 8692, 10746, 8700, 10748, 2556, 10755, 2565, 10758, 8711, 2566, 8713, 8714, 8715, 10764, 8723, 10772, 8725, 8728, 8738, 10791, 8744, 10793, 8746, 6700, 2608, 10801, 8756, 8761, 6718, 2623, 8769, 10826, 10829, 8782, 8783, 8781, 8785, 10836, 2648, 2655, 8800, 8801, 8802, 8808, 2668, 8815, 8816, 10865, 8820, 8823, 10876, 8828, 8830, 8833, 10882, 10883, 8835, 10889, 10890, 10891, 8845, 10894, 8851, 8852, 6806, 6807, 10902, 10903, 10906, 8857, 8860, 8854, 4767, 8864, 10915, 10916, 8867, 8880, 8884, 6836, 10934, 8887, 8888, 8886, 10943, 8896, 2752, 8903, 8907, 8908, 8910, 8911, 2774, 2775, 8920, 8922, 8925, 10976, 8930, 8933, 8937, 10990, 8945, 10996, 8952, 8957, 11007, 11008, 8960, 8965, 11014, 8969, 11020, 8973, 8979, 8980, 8982, 4887, 8989, 8992, 8994, 8995, 11050, 11051, 11056, 11062, 9015, 9016, 9022, 9024, 9026, 11078, 9033, 9038, 9052, 9057, 9059, 11108, 4972, 9069, 11118, 4975, 4976, 9072, 4978, 4979, 4980, 11123, 4988, 9087, 11136, 4993, 11138, 7043, 9094, 9095, 2953, 7050, 11147, 9099, 9102, 5010, 11160, 5017, 9114, 9113, 9118, 11168, 11173, 2982, 9135, 9137, 9139, 11188, 11193, 9148, 9151, 11201, 9155, 9156, 9159, 11209, 11212, 9168, 9170, 9177, 11227, 9187, 11243, 1004, 3052, 9207, 11260, 11261, 7166, 11266, 9225, 9227, 11276, 9229, 9233, 11282, 11286, 7195, 5148, 9247, 9252, 11305, 11306, 9269, 9273, 9284, 11336, 9289, 11338, 11339, 11341, 9293, 9298, 9301, 9303, 9306, 9308, 1117, 11361, 9322, 11376, 11377, 11378, 9329, 11384, 11390, 9352, 11407, 9363, 9366, 9369, 11418, 11419, 11420, 11422, 5281, 5285, 5287, 11434, 5295, 11439, 9394, 11443, 9397, 11449, 9417, 9425, 9431, 9436, 9440, 9441, 11501, 11504, 9464, 11517, 11519, 9472, 9471, 11525, 11529, 9485, 11536, 11549, 9515, 9517, 11575, 9535, 11588, 11592, 9555, 11604, 11612, 9571, 9574, 11633, 11637, 11641, 9593, 11649, 9602, 11654, 11656, 9610, 11659, 11662, 9623, 11677, 9633, 11682, 9634, 9640, 11706, 1471, 1473, 11713, 11723, 9677, 11729, 9690, 3549, 3551, 3554, 11747, 11748, 9699, 11764, 11769, 11774, 9733, 1546, 11787, 9747, 9748, 5661, 11805, 11811, 5669, 5672, 5673, 11818, 5675, 5676, 9772, 5678, 5683, 5685, 9781, 5687, 5688, 5689, 5690, 11842, 5700, 9799, 11848, 9801, 5712, 11857, 9810, 11860, 9816, 11866, 5730, 5732, 5733, 11880, 11882, 11884, 9840, 11891, 11915, 1677, 1678, 11918, 3736, 3737, 9880, 11936, 9901, 9903, 11957, 11959, 9916, 9930, 11983, 12004, 9961, 9962, 9963, 9971, 9972, 12021, 9974, 12023, 9976, 3833, 9984, 9986, 12035, 9988, 9993, 12043, 10000, 12049, 10003, 12055, 10007, 5916, 5921, 5922, 10020, 12078, 10034, 10038, 10042, 5955, 12103, 12112, 12113, 10081, 3942, 10087, 5995, 5996, 12152, 10104, 10106, 3974, 12166, 8073, 3984, 3985, 12177, 12176, 10136, 12185, 12188, 10149, 12202, 10156, 12206, 10162, 10163, 12222, 12225, 12227, 6085, 10182, 12231, 12232, 12236, 10188, 10195, 12247, 12248, 10203, 10212, 2031, 10223, 10232, 10233, 10239}","[9.00971, 8.957143, 8.696151, 8.234062, 9.010356, 8.05334, 7.9892373, 7.7058797, 7.6010227, 7.9801188]",6778,"[7.827735900878906, 7.923202991485596, 7.952603816986084, 7.790233135223389, 7.880674362182617, 7.736844062805176, 7.203018665313721, 7.3030900955200195, 7.151838779449463, 4.707350254058838]","[8.612235069274902, 8.054231643676758, 7.86426305770874, 7.361708164215088, 8.29104232788086, 7.91541862487793, 7.708190441131592, 8.138787269592285, 7.149663925170898, 5.017214298248291]","[7.998702526092529, 7.8539958000183105, 7.872769832611084, 7.119991779327393, 8.116957664489746, 8.038068771362305, 7.637301921844482, 7.461801528930664, 6.632965087890625, 5.295926570892334]","[7.675388813018799, 7.958250522613525, 7.910282135009766, 6.479865550994873, 8.101627349853516, 7.662920951843262, 7.513702392578125, 7.98347806930542, 6.96879243850708, 4.255218029022217]","[8.267596244812012, 7.693173885345459, 8.08995532989502, 6.416739463806152, 7.9587836265563965, 7.650089263916016, 7.408011436462402, 7.158242702484131, 6.885166645050049, 5.332927227020264]","[8.07633171081543, 7.8965709686279295, 7.937974834442139, 7.033707618713379, 8.069817066192627, 7.800668334960937, 7.494044971466065, 7.6090799331665036, 6.957685375213623, 4.921727275848388]"
15,1231,"[1231, 1202, 14588, 7998, 1465, 1217, 1047, 7176, 6974, 19073]","{772, 12808, 1423, 787, 12951, 2586, 2590, 12958, 12964, 12710, 938, 43, 1326, 12848, 1201, 12721, 307, 12851, 7476, 12981, 1207, 12858, 1211, 446, 7487, 12736, 707, 197, 455, 13005, 7502, 7503, 853, 12885, 5463, 1368, 856, 1370, 5467, 1623, 6361, 12894, 1121, 1123, 995, 997, 1508, 999, 1000, 1130, 8434, 882, 1525, 1016, 12923, 255}","[8.928972, 8.931537, 8.733574, 8.171691, 7.8935757, 7.51191, 7.2457514, 7.139176, 7.3451514, 7.4018397]",1202,"[4.500029563903809, 7.872897624969482, 8.387133598327637, 5.662222385406494, 8.310554504394531, 3.7899110317230225, 7.60104513168335, 5.961143970489502, 8.105385780334473, 6.734063625335693]","[4.658596515655518, 8.32264518737793, 7.920215606689453, 5.732935428619385, 7.071620941162109, 4.2918620109558105, 6.781482219696045, 7.3671417236328125, 7.494604110717773, 6.628391742706299]","[5.571436405181885, 7.615967750549316, 8.054129600524902, 6.035283088684082, 8.17995548248291, 4.463775157928467, 7.039937496185303, 7.576083660125732, 8.53560733795166, 4.816666126251221]","[5.244388103485107, 8.254170417785645, 9.308867454528809, 5.767876148223877, 7.334228992462158, 4.351450443267822, 7.0692667961120605, 7.327212810516357, 7.94748592376709, 6.724538326263428]","[5.164648056030273, 7.740316867828369, 8.910101890563965, 6.073728561401367, 8.074759483337402, 4.995233535766602, 6.98567008972168, 6.531031131744385, 7.950907230377197, 6.760153293609619]","[5.027819728851318, 7.961199569702148, 8.516089630126952, 5.854409122467041, 7.794223880767822, 4.378446435928344, 7.095480346679688, 6.952522659301758, 8.00679807662964, 6.332762622833252]"
16,1047,"[1047, 8058, 1537, 13979, 17543, 1217, 6085, 8010, 15089, 1597]",,,-1,,,,,,
17,860,"[860, 461, 6960, 23346, 23345, 23818, 23176, 8058, 12878, 12948]","{7809, 13318, 13319, 13320, 13322, 7435, 13326, 13330, 531, 1555, 13336, 669, 42, 13228, 12851, 8116, 13237, 13238, 13239, 13240, 13236, 13242, 13243, 13244, 13245, 13246, 13247, 13248, 3776, 13250, 1347, 13241, 7107, 13268, 13267, 12744, 13269, 13258, 13261, 13262, 13263, 13264, 13265, 1339, 13271, 13270, 1493, 8277, 1621, 1368, 13272, 13274, 1370, 13276, 13277, 13278, 13279, 13280, 13281, 1506, 13283, 13284, 13285, 13286, 13287, 999, 13289, 1003, 621, 13296, 8433, 1264, 1011, 1012, 13302, 1402}","[8.271285, 6.46904, 6.64173, 6.3683877, 6.2957706, 8.273241, 6.2614326, 6.1982894, 8.053301, 6.166928]",23818,"[7.0452399253845215, 6.801839351654053, 6.238598346710205, 5.406128406524658, 4.522776126861572, 5.279740810394287, 5.730716705322266, 5.394107818603516, 5.601531028747559, 6.358168601989746]","[7.265674114227295, 6.98603630065918, 6.468840599060059, 5.412450790405273, 5.01363468170166, 4.639490604400635, 5.564833641052246, 4.416252613067627, 5.4974799156188965, 6.980340003967285]","[7.2781548500061035, 6.969285488128662, 6.628206253051758, 5.315441608428955, 5.636606693267822, 5.252019882202148, 6.182693004608154, 5.219078063964844, 4.68938684463501, 6.961966037750244]","[7.243537902832031, 6.862852096557617, 6.214695930480957, 3.891720771789551, 3.986063003540039, 4.385653972625732, 3.1250994205474854, 4.515732288360596, 4.616044044494629, 6.722416400909424]","[7.3833723068237305, 7.186524391174316, 7.017618656158447, 5.2624192237854, 4.952722549438477, 5.068466663360596, 5.990596771240234, 5.181534290313721, 5.619802474975586, 8.803771018981934]","[7.243195819854736, 6.961307525634766, 6.513591957092285, 5.057632160186768, 4.822360610961914, 4.9250743865966795, 5.318787908554077, 4.945341014862061, 5.204848861694336, 7.165332412719726]"
18,1231,"[1231, 13295, 49, 1217, 7394, 1516, 1210, 6186, 6360, 994]","{13351, 1548, 1038, 7183, 530, 1555, 531, 19, 536, 13337, 1051, 13339, 13341, 13342, 13343, 13344, 13345, 13346, 8231, 5672, 13353, 13354, 1067, 5675, 5676, 13358, 13359, 13360, 13361, 13362, 5683, 13364, 13357, 13367, 3640, 13368, 13370, 13371, 1596, 13373, 7230, 13374, 13376, 1602, 13379, 13380, 13381, 7238, 1095, 1608, 13385, 13386, 13387, 13388, 13389, 13390, 13391, 13392, 13393, 13394, 13395, 13396, 13397, 598, 13399, 13398, 13401, 13402, 8283, 13404, 8285, 13406, 13407, 13408, 13409, 13410, 1123, 13412, 13413, 13411, 13415, 13416, 7785, 13418, 13417, 13420, 13421, 13422, 13424, 13425, 13426, 13427, 13428, 13429, 13430, 13431, 13432, 13433, 13434, 13435, 13436, 13437, 13438, 13439, 12928, 13441, 13440, 13356, 13445, 13451, 13453, 13457, 13460, 13461, 8853, 13463, 13466, 13471, 13473, 13474, 13475, 7333, 677, 13484, 1203, 1204, 13495, 13496, 1211, 13502, 13503, 13506, 13507, 13508, 13509, 197, 13510, 13513, 13514, 13515, 13516, 204, 13518, 13519, 13520, 1233, 13522, 13521, 13524, 8402, 8405, 13008, 8410, 8411, 13531, 13533, 1242, 13535, 1248, 1250, 739, 13542, 8423, 13544, 13547, 13378, 13550, 8430, 13553, 13556, 1273, 1275, 13382, 8450, 1283, 260, 772, 773, 13383, 13384, 787, 791, 1310, 7976, 7978, 6958, 307, 821, 7992, 7993, 12603, 7998, 8000, 8001, 837, 1350, 839, 848, 849, 858, 5467, 5466, 859, 892, 1414, 12681, 12706, 8612, 12713, 939, 1452, 1457, 1458, 7089, 7109, 12742, 460, 461, 8147, 8148, 8149, 8150, 12759, 8666, 7249, 997, 12774, 999, 1513, 1514, 1004, 1005, 1518, 1012, 1526}","[8.666359, 8.162461, 7.9363937, 7.9792304, 7.708884, 6.921781, 6.9888377, 8.666836, 6.5855427, 6.724199]",6186,"[7.627030849456787, 5.8842082023620605, 7.945756912231445, 6.793601036071777, 4.580230236053467, 6.777520179748535, 7.814791679382324, 6.021565914154053, 4.388523101806641, 6.703118801116943]","[7.779138565063477, 5.69741153717041, 7.719399452209473, 6.522539138793945, 3.4474241733551025, 6.735940933227539, 7.841243743896484, 6.447066307067871, 3.952181100845337, 6.19388484954834]","[8.059338569641113, 5.7942657470703125, 8.217962265014648, 6.347127914428711, 4.864717483520508, 7.1289520263671875, 7.608445167541504, 6.523956775665283, 3.8477683067321777, 6.782175540924072]","[7.108221530914307, 5.4383721351623535, 6.6545796394348145, 6.672989368438721, 2.9849114418029785, 7.287643909454346, 7.524213790893555, 6.702473163604736, 4.274686813354492, 6.355477809906006]","[7.546815395355225, 5.645111560821533, 7.553108215332031, 6.223739147186279, 3.62792706489563, 7.6245222091674805, 7.678417205810547, 6.3250041007995605, 4.989761829376221, 6.544523239135742]","[7.624108982086182, 5.691873836517334, 7.618161296844482, 6.511999320983887, 3.901042079925537, 7.110915851593018, 7.693422317504883, 6.4040132522583, 4.290584230422974, 6.5158360481262205]"
19,438,"[438, 7047, 1231, 719, 7000, 459, 792, 4341, 4340, 7461]",{13570},"[7.48482, 7.548077, 7.37359, 7.41571, 7.3278437, 7.254693, 7.0741377, 6.969132, 6.8960624, 6.6639557]",7047,"[6.980386734008789, 7.0042595863342285, 7.341811180114746, 7.249114036560059, 8.455314636230469, 7.407062530517578, 5.743080139160156, 6.716801643371582, 6.781793594360352, 6.444657325744629]","[6.746294021606445, 6.500145435333252, 7.018707752227783, 7.215266227722168, 8.051133155822754, 7.5882954597473145, 6.320599555969238, 6.310225486755371, 6.424560070037842, 6.376795291900635]","[6.717053413391113, 6.482295989990234, 7.2921271324157715, 5.302032470703125, 8.19229793548584, 7.4595537185668945, 6.282887935638428, 6.454760551452637, 6.478235244750977, 6.843574047088623]","[6.516147613525391, 7.209988594055176, 4.2426862716674805, 7.443437576293945, 7.5413713455200195, 7.018333435058594, 6.044081211090088, 6.8088908195495605, 6.735498428344727, 6.741660118103027]","[6.503991603851318, 7.241004943847656, 7.116868019104004, 4.7548956871032715, 8.050037384033203, 7.0846734046936035, 5.972182273864746, 6.507961273193359, 6.751759052276611, 6.619935512542725]","[6.692774677276612, 6.887538909912109, 6.602440071105957, 6.392949199676513, 8.058030891418458, 7.311583709716797, 6.072566223144531, 6.559727954864502, 6.634369277954102, 6.605324459075928]"
20,5238,"[5238, 1047, 8058, 6778, 25781, 15116, 12681, 23176, 12948, 5712]","{7176, 993, 786, 430}","[8.2881155, 8.291676, 7.9484334, 7.954132, 7.9350944, 7.804803, 7.7136765, 7.6625247, 7.598492, 7.485958]",1047,"[7.428894996643066, 7.710536956787109, 7.527112007141113, 7.378357887268066, 7.925237655639648, 6.497227668762207, 7.302231311798096, 7.543078899383545, 7.040106296539307, 8.146958351135254]","[7.3332366943359375, 6.799418926239014, 6.801717758178711, 7.665029525756836, 8.629891395568848, 6.8657073974609375, 7.518486022949219, 7.5706095695495605, 8.595108032226562, 8.355213165283203]","[8.430472373962402, 8.80086612701416, 8.157788276672363, 7.66543436050415, 8.47616958618164, 6.941052436828613, 7.264121055603027, 7.489819049835205, 7.441627025604248, 8.057117462158203]","[7.387944221496582, 6.843377113342285, 8.345561981201172, 7.273490905761719, 8.460127830505371, 6.9248270988464355, 7.563257217407227, 7.653990268707275, 7.700615882873535, 8.30348014831543]","[7.454535484313965, 8.32537841796875, 8.027769088745117, 7.895918846130371, 8.488901138305664, 6.8856658935546875, 7.29245138168335, 7.79407262802124, 8.612104415893555, 8.015629768371582]","[7.607016754150391, 7.6959155082702635, 7.771989822387695, 7.575646305084229, 8.396065521240235, 6.822896099090576, 7.388109397888184, 7.610314083099365, 7.877912330627441, 8.175679779052734]"
21,1231,"[1231, 13295, 1408, 1597, 13541, 7431, 1477, 12272, 6446, 1537]",,,-1,,,,,,
22,21897,"[21897, 6778, 12681, 8454, 1458, 12948, 6990, 1611, 7503, 5465]","{993, 1473, 1347, 1572, 197, 14850, 14723, 14824, 14698, 14795, 138, 1069, 622, 1007, 1264, 14580, 14487, 14555}","[8.998849, 9.007296, 8.122486, 8.101953, 7.9695845, 7.9466777, 7.517522, 7.4205046, 7.3247833, 7.294047]",6778,"[8.568584442138672, 8.64759349822998, 8.656400680541992, 8.113044738769531, 1.0311527252197266, 7.965081691741943, 6.248112678527832, 7.704963207244873, 5.313738822937012, 6.450309753417969]","[9.058810234069824, 8.844719886779785, 8.82426929473877, 8.651901245117188, 6.383864402770996, 8.284046173095703, 6.078453540802002, 8.440922737121582, 5.452208042144775, 6.670447826385498]","[8.845514297485352, 8.674702644348145, 8.594942092895508, 8.292353630065918, 2.5597376823425293, 7.500364780426025, 7.042240142822266, 7.674750804901123, 7.675283432006836, 7.601036548614502]","[8.985398292541504, 8.974262237548828, 8.928535461425781, 8.407423973083496, 3.330146074295044, 8.758079528808594, 5.810764312744141, 7.7330217361450195, 7.537673473358154, 6.568195819854736]","[8.879730224609375, 9.138753890991211, 8.577991485595703, 7.755635738372803, 3.033306360244751, 8.314411163330078, 5.946084499359131, 8.15298080444336, 5.461947917938232, 7.1884589195251465]","[8.867607498168946, 8.85600643157959, 8.71642780303955, 8.244071865081787, 3.2676414489746093, 8.164396667480469, 6.225131034851074, 7.941327857971191, 6.288170337677002, 6.89568977355957]"
23,1231,"[1231, 1047, 197, 1391, 7394, 17781, 12948, 6778, 1473, 12939]",,,-1,,,,,,
24,1231,"[1231, 1217, 7394, 13295, 6186, 49, 1525, 7431, 13541, 6989]",,,-1,,,,,,
25,15116,"[15116, 369, 1231, 7337, 1511, 5712, 6778, 1594, 7511, 14662]",{6452},"[6.1660585, 5.8509235, 6.204268, 5.7094307, 5.486621, 5.294822, 5.2408357, 5.184711, 5.088389, 5.0820603]",1231,"[4.539890289306641, 2.491737127304077, 6.465653896331787, 5.725244998931885, 5.612346172332764, 5.762424945831299, 4.494995594024658, 5.135390281677246, 4.388014793395996, 4.066723346710205]","[4.366311550140381, 3.140258550643921, 6.216098308563232, 5.381076335906982, 5.861791610717773, 5.746560096740723, 4.441161632537842, 5.291719436645508, 4.131784439086914, 4.73797082901001]","[4.635389804840088, 2.6908037662506104, 6.162489414215088, 5.841753959655762, 5.813607215881348, 5.8434343338012695, 4.773037433624268, 5.595466136932373, 4.549440860748291, 4.967135429382324]","[4.57056188583374, 2.566444158554077, 6.004504203796387, 5.732816219329834, 5.769312381744385, 5.862123012542725, 4.359304904937744, 4.503901958465576, 5.236149311065674, 4.591636657714844]","[4.429541110992432, 2.2253081798553467, 6.175953388214111, 5.9839653968811035, 5.8969197273254395, 5.71091890335083, 4.4011945724487305, 5.04871129989624, 4.15036678314209, 4.868490695953369]","[4.508338928222656, 2.6229103565216065, 6.204939842224121, 5.7329713821411135, 5.790795421600341, 5.7850922584533695, 4.493938827514649, 5.115037822723389, 4.491151237487793, 4.64639139175415]"
26,17781,"[17781, 6778, 1366, 1391, 21897, 307, 772, 5770, 15090, 5437]","{8449, 8450, 1414, 524, 3603, 536, 410, 810, 1070, 1455, 1200, 7220, 1205, 1210, 443, 1211, 15421, 1471, 1599, 8385, 1602, 1608, 15440, 15441, 7892, 15444, 15449, 13533, 15454, 862, 15459, 15464, 8425, 1130, 493, 1009}","[8.414203, 8.4291315, 7.1551046, 7.4148026, 7.767027, 7.167644, 7.097003, 6.7609324, 6.7389545, 6.816291]",6778,"[5.369462966918945, 7.046894073486328, 4.538568019866943, 7.557248592376709, 7.398543357849121, 7.002679824829102, 7.206831932067871, 7.227810859680176, 7.156646728515625, 6.411036014556885]","[6.40544319152832, 7.430205345153809, 4.6554179191589355, 7.389311790466309, 7.453534126281738, 6.9493632316589355, 7.29982852935791, 7.559872627258301, 7.668712139129639, 6.09163761138916]","[6.18529748916626, 7.243239402770996, 4.917299747467041, 6.674670696258545, 7.459527015686035, 6.806309223175049, 6.948000431060791, 7.016110897064209, 7.117518901824951, 6.525457859039307]","[5.951990604400635, 7.2205071449279785, 4.506129741668701, 7.216232776641846, 7.445256233215332, 6.8286566734313965, 7.1604695320129395, 7.7229228019714355, 7.0893144607543945, 6.338700771331787]","[6.226785659790039, 7.3059844970703125, 4.766536235809326, 7.19117546081543, 7.599009037017822, 6.933263778686523, 6.995072364807129, 7.227981090545654, 7.5298285484313965, 6.02329683303833]","[6.02779598236084, 7.249366092681885, 4.676790332794189, 7.205727863311767, 7.47117395401001, 6.9040545463562015, 7.122040557861328, 7.350939655303955, 7.312404155731201, 6.278025817871094]"
27,6778,"[6778, 15366, 15116, 803, 15402, 15404, 15382, 4340, 12681, 15369]",,,-1,,,,,,
28,1391,"[1391, 7394, 6778, 1017, 1047, 1606, 18950, 15116, 17781, 15090]","{8711, 12295, 11275, 15884, 15889, 11282, 15893, 5654, 5655, 5660, 10781, 5662, 5663, 15902, 5667, 5670, 1574, 5674, 5679, 5682, 5685, 5687, 5688, 5691, 15942, 11848, 586, 11863, 11864, 6233, 1116, 1117, 11363, 6254, 15986, 5256, 16014, 11919, 11407, 6807, 4767, 16038, 16039, 9896, 11943, 12458, 16044, 16045, 16047, 8884, 12469, 1212, 12485, 12487, 9930, 9423, 16082, 12506, 16092, 16094, 9438, 10979, 15588, 6377, 16107, 9452, 16113, 11505, 16117, 759, 16121, 11515, 12544, 13577, 9482, 11531, 12042, 13584, 12560, 2322, 16155, 16156, 16157, 15645, 15652, 12603, 5436, 5437, 10055, 15688, 11594, 12622, 15697, 15698, 15701, 15702, 10074, 15716, 12645, 12646, 15722, 11629, 3441, 5490, 12149, 9078, 12151, 4984, 4986, 4988, 15743, 7043, 12678, 9097, 8073, 12684, 12685, 8080, 12690, 15764, 12181, 9119, 12705, 10149, 15791, 12208, 10688, 9153, 5060, 6085, 6088, 461, 12240, 12241, 15824, 15829, 5590, 15839, 12256, 12258, 1000, 3052, 1012, 1525, 1526, 9718, 11257}","[8.140843, 7.8475494, 8.141751, 7.643653, 7.35168, 7.4899883, 7.3485646, 7.077348, 6.9414673, 6.9025145]",6778,"[7.870969772338867, 5.964728355407715, 7.034170627593994, 6.626791954040527, 5.066833972930908, 6.967854976654053, 7.270811080932617, 4.450155258178711, 4.2351202964782715, 5.8977556228637695]","[8.226739883422852, 5.467767715454102, 7.267573356628418, 6.778258323669434, 5.609660625457764, 6.4961724281311035, 6.305050849914551, 4.622053623199463, 4.076843738555908, 6.305689334869385]","[7.276952266693115, 5.147401332855225, 7.278508186340332, 7.070559024810791, 4.29382848739624, 6.118626117706299, 6.502083778381348, 4.60111141204834, 3.8403377532958984, 6.156744956970215]","[8.252974510192871, 5.182199001312256, 7.337433338165283, 7.767837047576904, 5.248193264007568, 6.354953765869141, 7.648728847503662, 4.463041305541992, 4.333558559417725, 6.2248616218566895]","[8.163877487182617, 5.560342311859131, 7.1211957931518555, 8.031643867492676, 5.625792026519775, 5.610218524932861, 7.602448463439941, 4.666060447692871, 3.9843146800994873, 6.962695121765137]","[7.958302783966064, 5.464487743377686, 7.207776260375977, 7.255018043518066, 5.168861675262451, 6.309565162658691, 7.0658246040344235, 4.560484409332275, 4.094035005569458, 6.309549331665039]"
29,7176,"[7176, 1047, 853, 761, 8015, 6974, 5466, 1554, 689, 856]","{14849, 14850, 4104, 1037, 5645, 1039, 15268, 531, 1044, 1045, 530, 14872, 16186, 16187, 1572, 16188, 1067, 7212, 16161, 6195, 7220, 1592, 6206, 66, 1603, 16162, 1605, 1606, 5198, 16298, 15444, 1627, 14939, 1117, 1123, 7005, 613, 14952, 5744, 5745, 7284, 939, 5239, 4731, 12923, 941, 16206, 4752, 4755, 13460, 6810, 15003, 4764, 4766, 5793, 677, 13487, 6832, 12981, 1210, 1211, 707, 4807, 1226, 719, 1234, 7387, 16224, 8413, 13535, 1248, 5864, 4841, 4843, 5868, 4844, 3310, 15090, 758, 1272, 7931, 5383, 7432, 6569, 16160, 7457, 290, 16163, 7972, 16165, 16166, 16167, 16168, 16164, 16170, 16171, 16172, 2861, 16174, 16173, 16176, 16177, 16178, 6963, 16180, 16181, 16182, 16183, 16184, 16185, 6970, 6458, 828, 16189, 16190, 16191, 16192, 16193, 16194, 7491, 16195, 16197, 16198, 16199, 16200, 16201, 16202, 16203, 16204, 16205, 6990, 7503, 5456, 16209, 16210, 16208, 16212, 16213, 16207, 16215, 5976, 7001, 858, 16217, 16220, 16221, 16222, 16223, 7008, 16225, 16226, 16227, 16228, 16229, 16230, 16231, 16232, 16233, 1386, 16235, 16236, 16237, 16238, 16239, 16240, 16241, 16234, 16245, 16247, 16248, 4473, 1402, 16251, 16252, 16253, 16249, 16255, 384, 16257, 16258, 16260, 16261, 16262, 16263, 16266, 16267, 16268, 16269, 16271, 16272, 16273, 4496, 16275, 16276, 4495, 16278, 16279, 16280, 16281, 16282, 16283, 16284, 16285, 16286, 16287, 16288, 16289, 1436, 16291, 16292, 16293, 16294, 16295, 16296, 6057, 5545, 6058, 16299, 16300, 16301, 16302, 16303, 16304, 16305, 16306, 16307, 16309, 16310, 16308, 16313, 16314, 16315, 16316, 16317, 16319, 16320, 1473, 964, 12759, 1502, 993, 998, 14824, 6121, 1002, 6127, 14832, 1011, 1013, 16179, 15358}","[8.487789, 7.851218, 7.1992764, 8.488272, 7.893225, 7.081176, 6.9336133, 7.1554217, 7.174193, 7.386493]",761,"[9.437932014465332, 7.6465935707092285, 7.439520835876465, 7.959495544433594, 6.916556358337402, 7.910534381866455, 6.920920372009277, 7.432652473449707, 7.2937211990356445, 7.53497314453125]","[9.033453941345215, 8.65073013305664, 7.3123884201049805, 7.550228595733643, 6.979877471923828, 7.550578594207764, 6.56039571762085, 7.671220779418945, 7.589561462402344, 7.412858009338379]","[9.060697555541992, 7.663849830627441, 7.402665138244629, 8.149409294128418, 6.902779579162598, 7.274274826049805, 6.827308654785156, 7.065540790557861, 7.203772068023682, 8.03656005859375]","[9.476521492004395, 8.696224212646484, 6.9465250968933105, 8.12045955657959, 6.747075080871582, 8.186070442199707, 6.385305881500244, 7.226211071014404, 6.8981194496154785, 8.194375991821289]","[9.015387535095215, 8.04683780670166, 7.204181671142578, 7.538393020629883, 6.83162784576416, 8.067330360412598, 6.438617706298828, 7.377143859863281, 6.418036937713623, 7.865814208984375]","[9.20479850769043, 8.140847110748291, 7.261056232452392, 7.863597202301025, 6.875583267211914, 7.797757720947265, 6.626509666442871, 7.3545537948608395, 7.080642223358154, 7.808916282653809]"
